,Serial,Event,Date (YMD),Deaths,Injured,Missing,Directly Affected,Indirectly Affected,Relocated,Evacuated,Losses (USD),Losses (Local)
77,2004-13-16147,FIRE,2004/8/9,0,0,0,0,0,0,0,0,0
78,2004-13-16140,FIRE,2004/7/7,0,0,0,0,0,0,0,0,0
79,2004-13-16139,FIRE,2004/7/6,0,0,0,0,0,0,0,0,0
80,2004-13-16133,FIRE,2004/6/10,0,0,0,0,0,0,0,0,0
81,2004-13-16130,FIRE,2004/5/29,0,0,0,0,0,0,0,0,0
82,2004-13-16129,FIRE,2004/5/27,0,0,0,0,0,0,0,0,100000
83,2004-13-16128,FIRE,2004/5/25,0,0,0,0,0,0,0,0,0
84,2004-13-16127,FOREST FIRE,2004/5/25,0,0,0,0,0,0,0,0,0
85,2004-13-16125,FIRE,2004/5/14,0,0,0,0,0,0,0,0,0
86,2004-13-16124,FIRE,2004/5/14,0,0,0,0,0,0,0,0,0
87,2004-13-16123,FIRE,2004/5/14,0,0,0,0,0,0,0,0,0
88,2004-13-16121,FIRE,2004/5/11,0,0,0,0,0,0,0,0,0
89,2004-13-16120,FIRE,2004/5/10,0,0,0,0,0,0,0,0,0
90,2004-13-16119,FIRE,2004/5/9,0,0,0,0,0,0,0,0,0
91,2004-13-16118,FIRE,2004/5/6,0,0,0,0,0,0,0,0,800000
92,2004-13-16117,FIRE,2004/5/6,0,0,0,0,0,0,0,0,0
93,2004-13-16116,FIRE,2004/5/6,0,0,0,0,0,0,0,0,0
94,2004-13-16115,FIRE,2004/5/6,0,0,0,0,0,0,0,0,0
95,2004-13-16114,FIRE,2004/5/5,0,0,0,0,0,0,0,0,0
96,2004-13-16113,FIRE,2004/5/5,0,0,0,0,0,0,0,0,0
97,2004-13-16111,FIRE,2004/5/2,0,0,0,0,0,0,0,0,0
98,2004-13-16110,FIRE,2004/4/28,0,0,0,0,0,0,0,0,1000000
99,2004-13-16109,FIRE,2004/4/27,0,0,0,0,0,0,0,0,0
100,2003-13-16080,FIRE,2003/8/17,0,0,0,0,0,0,0,0,0
101,2003-13-16077,FIRE,2003/7/31,0,0,0,0,0,0,0,0,0
102,2003-13-16076,FIRE,2003/7/30,0,0,0,0,0,0,0,0,0
103,2003-13-16074,FIRE,2003/7/20,0,0,0,0,0,0,0,0,0
104,2003-13-16067,FIRE,2003/6/10,0,0,0,0,0,0,0,0,0
105,2003-13-16066,FIRE,2003/6/9,0,0,0,0,0,0,0,0,0
106,2003-13-16065,FIRE,2003/5/23,0,0,0,0,0,0,0,0,0
107,2003-13-16064,FIRE,2003/5/6,0,0,0,0,0,0,0,0,0
108,2002-13-16056,FIRE,2002/8/3,0,0,0,0,0,0,0,0,0
109,2001-13-16055,FIRE,2001/8/26,0,0,0,0,0,0,0,0,0
110,2001-13-16054,FOREST FIRE,2001/7/21,0,0,0,0,0,0,0,0,0
111,2001-13-16053,FOREST FIRE,2001/7/13,0,0,0,0,0,0,0,0,50000
112,2001-13-16052,FOREST FIRE,2001/7/11,0,0,0,0,0,0,0,0,0
113,2001-13-16051,FIRE,2001/6/23,0,0,0,0,0,0,0,0,0
114,2001-13-16050,FIRE,2001/6/22,0,0,0,0,0,0,0,0,0
115,2001-13-16049,FOREST FIRE,2001/5/31,0,0,0,0,0,0,0,0,0
116,2009-14-15973,FOREST FIRE,2009/8/22,0,0,0,0,200,0,0,0,0
117,2009-14-15972,FOREST FIRE,2009/7/28,0,0,0,0,18,0,0,0,0
118,2009-14-15971,FOREST FIRE,2009/7/14,0,0,0,0,400,0,0,0,0
119,2009-14-15970,FOREST FIRE,2009/6/25,0,0,0,0,180,0,0,0,0
120,2009-14-15969,FOREST FIRE,2009/6/25,0,0,0,0,20,0,0,0,0
121,2009-14-15968,FOREST FIRE,2009/6/23,0,0,0,0,1600,0,0,0,0
122,2009-14-15967,FOREST FIRE,2009/6/19,0,0,0,0,0,0,0,0,0
123,2009-14-15965,FLOOD,2009/2/11,0,0,0,0,20,0,0,0,150000
124,2008-14-15959,FIRE,2008/11/2,0,3,0,3,6,0,0,0,200000
125,2008-14-15956,FOREST FIRE,2008/10/12,0,1,0,0,0,0,0,0,0
126,2008-14-15945,FOREST FIRE,2008/8/1,0,0,0,0,9,0,0,0,0
127,2007-14-15940,FIRE,2007/12/2,0,0,0,5,10,0,0,0,15000
128,2007-14-15937,FIRE,2007/11/5,1,2,0,3,6,0,0,0,200000
129,2007-14-15936,FIRE,2007/11/2,0,2,0,2,4,0,0,0,150000
130,2007-14-15935,FOREST FIRE,2007/11/1,0,0,0,0,5,0,0,0,0
131,2007-14-15934,FIRE,2007/10/25,0,0,0,0,0,0,0,0,0
132,2007-14-15933,FIRE,2007/10/24,0,0,0,0,0,0,0,0,0
133,2007-14-15930,FIRE,2007/10/14,0,1,0,0,2,0,0,0,0
134,2007-14-15929,FOREST FIRE,2007/10/13,0,0,0,0,12,0,0,0,0
135,2007-14-15928,FIRE,2007/10/13,0,0,0,0,0,0,0,0,0
136,2007-14-15927,FIRE,2007/10/12,0,0,0,0,0,0,0,0,0
137,2007-14-15926,FIRE,2007/10/11,0,1,0,1,2,0,0,0,0
138,2007-14-15924,FOREST FIRE,2007/10/1,0,0,0,0,10,0,0,0,0
139,2007-14-15921,FIRE,2007/9/24,0,1,0,1,2,0,0,0,300000
140,2007-14-15920,FIRE,2007/9/16,0,2,0,2,4,0,0,0,175000
141,2007-14-15919,FIRE,2007/9/1,0,1,0,1,2,0,0,0,0
142,2007-14-15918,FOREST FIRE,2007/7/28,0,0,0,0,0,0,0,0,0
143,2007-14-15914,FIRE,2007/6/24,0,0,0,0,18,0,0,0,0
144,2007-14-15913,FOREST FIRE,2007/6/24,0,0,0,0,12,0,0,0,0
145,2007-14-15912,FIRE,2007/6/6,0,0,0,0,10,0,0,0,0
146,2007-14-15911,FIRE,2007/6/4,0,0,0,0,33,0,0,0,0
147,2007-14-15908,FOREST FIRE,2007/5/21,0,0,0,0,20,0,0,0,0
148,2007-14-15897,SNOWSTORM,2007/4/14,0,0,0,0,0,0,0,0,0
149,2007-14-15896,FIRE,2007/4/10,1,1,0,2,4,0,0,0,120000
150,2007-14-15893,FROST,2007/2/22,0,0,0,0,54,0,0,0,0
151,2007-14-15892,FROST,2007/2/19,0,0,0,0,60,0,0,0,0
152,2007-14-15891,FROST,2007/2/18,0,0,0,0,66,0,0,0,0
153,2007-14-15890,FROST,2007/2/17,0,0,0,0,72,0,0,0,0
154,2007-14-15889,FROST,2007/2/14,0,0,0,0,90,0,0,0,0
155,2007-14-15888,FROST,2007/2/13,0,0,0,0,50,0,0,0,0
156,2007-14-15887,FROST,2007/2/11,0,0,0,0,120,0,0,0,0
157,2007-14-15886,FROST,2007/2/9,0,0,0,0,90,0,0,0,0
158,2007-14-15885,FROST,2007/2/3,0,0,0,0,100,0,0,0,0
159,2006-14-15877,FIRE,2006/11/23,1,1,0,2,10,0,0,0,100000
160,2006-14-15874,FIRE,2006/10/27,0,2,0,2,4,0,0,0,35000
161,2006-14-15873,FIRE,2006/10/21,1,0,0,1,2,0,0,0,250000
162,2006-14-15872,FIRE,2006/10/17,0,2,0,2,4,0,0,0,150000
163,2006-14-15869,FOREST FIRE,2006/10/2,0,0,0,0,13,0,0,0,0
164,2006-14-15866,FIRE,2006/9/14,1,0,0,0,1,5,0,0,100000
165,2006-14-15865,FOREST FIRE,2006/9/5,0,1,0,0,1,5,0,0,0
166,2006-14-15864,FOREST FIRE,2006/8/27,0,0,0,0,5,0,0,0,0
167,2006-14-15861,FIRE,2006/8/16,1,1,0,0,0,0,0,0,0
168,2006-14-15859,FOREST FIRE,2006/8/4,0,0,0,0,20,0,0,0,0
169,2006-14-15858,FOREST FIRE,2006/8/4,0,0,0,0,8,0,0,0,0
170,2006-14-15857,FOREST FIRE,2006/8/2,0,0,0,0,35,0,0,0,0
171,2006-14-15855,FOREST FIRE,2006/7/26,0,0,0,0,0,0,0,0,0
172,2006-14-15854,FOREST FIRE,2006/7/25,0,0,0,0,3,0,0,0,0
173,2006-14-15850,FOREST FIRE,2006/7/13,0,0,0,0,13,0,0,0,0
174,2006-14-15846,FOREST FIRE,2006/7/1,0,0,0,0,25,0,0,0,0
175,2006-14-15845,FOREST FIRE,2006/6/19,0,0,0,0,20,0,0,0,0
176,2006-14-15844,FOREST FIRE,2006/6/16,0,0,0,0,15,0,0,0,0
177,2006-14-15842,FOREST FIRE,2006/6/11,0,0,0,0,30,0,0,0,0
178,2006-14-15841,FOREST FIRE,2006/6/8,0,0,0,0,55,0,0,0,0
179,2006-14-15840,FIRE,2006/6/6,0,3,0,3,6,0,0,0,160000
180,2006-14-15838,FIRE,2006/5/30,0,1,0,1,2,0,0,0,130000
181,2006-14-15837,FIRE,2006/5/28,0,0,0,0,0,0,0,0,100000
182,2006-14-15836,FIRE,2006/5/23,0,2,0,2,4,0,0,0,90000
183,2006-14-15832,FLOOD,2006/4/1,0,0,0,20,40,0,0,0,0
184,2005-14-15821,FIRE,2005/12/3,0,0,0,0,0,0,0,0,0
185,2005-14-15809,FIRE,2005/8/17,0,0,0,0,0,0,0,0,0
186,2005-14-15808,FIRE,2005/8/14,0,0,0,0,0,0,0,0,0
187,2005-14-15807,FIRE,2005/8/7,1,2,0,0,0,0,0,0,75000
188,2005-14-15806,FIRE,2005/8/6,0,0,0,0,0,0,0,0,0
189,2005-14-15805,FIRE,2005/8/4,0,0,0,0,0,0,0,0,5000
190,2005-14-15804,FOREST FIRE,2005/5/21,0,0,0,0,20,0,0,0,80000
191,2005-14-15803,FOREST FIRE,2005/5/21,0,0,0,0,80,0,0,0,0
192,2005-14-15802,FOREST FIRE,2005/5/15,0,0,0,0,580,0,0,0,0
193,2005-14-15799,STRONG WIND,2005/5/4,0,0,0,0,190,0,0,0,0
194,2005-14-15798,FLOOD,2005/5/4,0,0,0,0,35,0,0,0,0
195,2005-14-15793,FIRE,2005/3/5,0,2,0,0,0,0,0,0,0
196,2005-14-15789,FROST,2005/2/8,0,0,0,18,2500,0,0,0,0
197,2005-14-15788,FLOOD,2005/2/7,0,0,0,6,200,0,0,0,0
198,2005-14-15787,FLOOD,2005/2/7,0,0,0,15,200,0,0,0,0
199,2005-14-15786,FLOOD,2005/2/6,0,0,0,5,500,0,0,0,0
