,Type,Date,Affected,Deaths,Relocated
160,Fire,2015/7/29,0,0,0
161,Accident,2015/7/26,0,0,0
162,Structural collapse,2015/7/22,3,0,0
163,Fire,2015/7/17,0,0,0
164,Fire,2015/6/30,7,0,0
165,Biological migration or loss,2015/6/30,0,0,0
166,Fire,2015/6/30,0,0,0
167,Fire,2015/6/26,9,0,0
168,Fire,2015/6/0,1,0,0
169,Fire,2015/6/3,2,0,0
170,Fire,2015/6/1,4,0,0
171,Fire,2015/5/17,0,0,0
172,Fire,2015/5/7,0,0,0
173,Fire,2015/4/27,2,0,0
174,Fire,2015/4/25,0,1,0
175,Fire,2015/4/21,0,0,0
176,Fire,2015/4/18,0,0,0
177,Fire,2015/4/15,0,0,0
178,Fire,2015/4/13,0,0,0
179,Fire,2015/4/12,0,0,0
180,Fire,2015/3/31,0,0,0
181,Fire,2015/3/26,2,0,0
182,Fire,2015/3/22,0,0,0
183,Fire,2015/3/11,0,0,0
184,Fire,2015/3/12,0,0,0
185,Fire,2015/3/1,8,0,0
186,Fire,2015/2/16,4,0,0
187,Explosion,2015/1/22,0,1,0
188,Change in coastline,2015/1/0,0,0,0
189,Fire,2015/1/9,0,0,0
190,Accident,2015/1/6,2,0,0
191,Fire,2015/1/5,4,0,0
192,Structural collapse,2015/1/5,0,0,0
193,Fire,2015/1/1,0,0,0
194,Fire,2014/11/23,0,0,0
195,Structural collapse,2014/11/0,0,0,0
196,Torrential flow,2014/11/0,0,0,0
197,Torrential flow,2014/11/22,0,0,0
198,Inundation,2014/11/0,6,0,0
199,Leak,2014/11/0,4,0,0
200,Inundation,2014/11/0,0,0,0
201,Landslide,2014/11/21,4,0,0
202,Fire,2014/11/10,1,0,0
203,Fire,2014/11/6,2,0,0
204,Fire,2014/10/29,0,0,0
205,Fire,2014/10/28,1,0,0
206,Torrential flow,2014/10/27,0,0,0
207,Fire,2014/10/18,0,0,0
208,Forestal fire,2014/10/11,8,0,0
209,Electrical storm,2014/10/9,0,0,0
210,Biological migration or loss,2014/10/0,0,0,0
211,Inundation,2014/9/25,0,0,0
212,Fire,2014/9/22,0,0,0
213,Fire,2014/9/19,0,0,0
214,Inundation,2014/9/19,0,0,0
215,Other,2014/9/19,0,0,0
216,Inundation,2014/9/19,0,0,0
217,Inundation,2014/9/19,0,0,0
218,Inundation,2014/9/19,0,0,0
219,Inundation,2014/9/19,10,0,0
220,Fire,2014/9/17,0,0,0
221,Fire,2014/9/12,9,0,0
222,Other,2014/9/8,0,0,0
223,Fire,2014/9/6,1,0,0
224,Fire,2014/9/7,0,0,0
225,Fire,2014/9/6,7,0,0
226,Fire,2014/9/4,0,0,0
227,Fire,2014/8/28,0,0,0
228,Fire,2014/8/26,0,0,0
229,Fire,2014/8/25,2,0,0
230,Other,2014/8/0,0,0,0
231,Inundation,2014/7/15,0,0,0
232,Fire,2014/7/9,0,0,0
233,Fire,2014/7/4,0,0,0
234,Structural collapse,2014/7/4,0,0,0
235,Forestal fire,2014/6/29,0,0,0
236,Fire,2014/6/27,0,0,0
237,Fire,2014/6/18,0,0,0
238,Fire,2014/6/17,0,0,0
239,Fire,2014/6/4,10,0,0
240,Fire,2014/6/3,4,0,0
241,Fire,2014/5/30,0,0,0
242,Forestal fire,2014/5/22,0,0,0
243,Fire,2014/5/21,2,0,0
244,Drought,2014/5/0,0,0,0
245,Other,2014/5/17,0,0,0
246,Biological migration or loss,2014/5/14,0,0,0
247,Structural collapse,2014/4/31,0,0,0
248,Fire,2014/4/28,0,0,0
249,Fire,2014/4/23,0,0,0
250,Fire,2014/4/0,0,0,0
251,Forestal fire,2014/4/21,0,0,0
252,Fire,2014/4/18,0,0,0
253,Forestal fire,2014/4/9,0,0,0
254,Fire,2014/4/9,0,0,0
255,Fire,2014/4/7,0,0,0
256,Forestal fire,2014/3/31,0,0,0
257,Forestal fire,2014/3/31,0,0,0
258,Fire,2014/3/31,10,1,10
259,Structural collapse,2014/3/30,0,0,0
260,Fire,2014/3/22,0,0,0
261,Fire,2014/3/16,0,0,0
262,Landslide,2014/3/0,0,0,0
263,Fire,2014/3/7,2,0,0
264,Fire,2014/3/1,7,0,0
265,Structural collapse,2014/2/22,2,0,0
266,Fire,2014/2/22,0,0,0
267,Fire,2014/2/21,4,0,0
268,Fire,2014/2/20,0,0,0
269,Fire,2014/2/12,0,0,0
270,Fire,2014/2/8,0,0,0
271,Structural collapse,2014/1/28,0,0,0
272,Landslide,2014/1/14,4,0,0
273,Fire,2014/1/8,0,0,6
274,Fire,2014/1/7,0,0,0
275,Fire,2014/1/4,0,0,0
276,Fire,2014/1/6,0,0,0
277,Fire,2014/1/5,0,0,0
278,Fire,2014/1/1,0,0,0
279,Fire,1984/2/6,4,0,0
280,Structural collapse,2008/11/13,1,1,0
