,Serial,Event,Country,Country Code,Date (YMD),Deaths,Injured,Missing,Directly Affected,Indirectly Affected,Relocated,Evacuated,Losses (USD),Losses (Local)
625,1369.0,TC - Tropical Cyclone,Cook Islands,COK,1942/2/19,0,0,0,0,0,0,0,0.0,0
626,1368.0,TC - Tropical Cyclone,Cook Islands,COK,1941/12/0,0,0,0,0,0,0,0,0.0,0
627,1367.0,TC - Tropical Cyclone,Cook Islands,COK,1941/3/0,0,0,0,0,0,0,0,0.0,0
628,1366.0,TC - Tropical Cyclone,Fiji,FJI,1941/2/19,6,0,0,0,0,0,0,0.0,0
629,1365.0,EQ - Earthquake,Papua New Guinea,PNG,1941/1/13,4,0,0,0,0,0,0,0.0,0
630,1364.0,TC - Tropical Cyclone,Vanuatu,VUT,1940/2/4,0,0,0,0,0,0,0,0.0,0
631,1363.0,EQ - Earthquake,Solomon Islands,SLB,1939/4/30,12,0,0,0,0,0,0,1000000.0,0
632,1362.0,EQ - Earthquake,Papua New Guinea,PNG,1939/1/30,5,101,0,0,0,0,0,1000000.0,0
633,1361.0,EQ - Earthquake,Papua New Guinea,PNG,1938/5/12,0,0,0,0,0,0,0,0.0,0
634,1360.0,TC - Tropical Cyclone,Cook Islands,COK,1935/2/9,1,0,0,0,0,0,0,0.0,0
635,1359.0,EQ - Earthquake,Papua New Guinea,PNG,1933/12/12,0,0,0,0,0,0,0,0.0,0
636,1358.0,EQ - Earthquake,Fiji,FJI,1932/3/8,0,0,0,0,0,0,0,1000000.0,0
637,1357.0,EQ - Earthquake,Solomon Islands,SLB,1931/10/10,0,0,0,0,0,0,0,0.0,0
638,1356.0,EQ - Earthquake,Solomon Islands,SLB,1931/10/3,50,0,0,0,0,0,0,5000000.0,0
639,1355.0,TC - Tropical Cyclone,Fiji,FJI,1931/10/0,50,0,0,0,0,0,0,0.0,0
640,1354.0,TC - Tropical Cyclone,Fiji,FJI,1931/2/16,160,0,0,0,0,0,0,0.0,0
641,1353.0,EQ - Earthquake,Papua New Guinea,PNG,1930/12/23,11,0,0,0,0,0,0,0.0,0
642,1352.0,TC - Tropical Cyclone,Fiji,FJI,1929/12/8,20,0,0,0,0,0,0,0.0,0
643,1351.0,TC - Tropical Cyclone,Palau,PLW,1927/5/0,0,0,0,0,0,0,0,0.0,0
644,1350.0,EQ - Earthquake,Solomon Islands,SLB,1926/9/16,0,0,0,0,0,0,0,0.0,0
645,1349.0,TS - Tsunami,Cook Islands,COK,1926/3/16,1,0,0,0,0,0,0,1000000.0,0
646,1348.0,TC - Tropical Cyclone,Cook Islands,COK,1926/3/0,1,0,0,0,0,0,0,0.0,0
