,Type,Date,Affected,Deaths,Relocated
125,Flood,2008/8/26,1224,80,50
126,Heavy Rains with Lightning Winds,2015/0/0,14622,0,0
127,Flood,2004/4/25,19800,150,0
128,Tree Fall,1995/9/2,300,10,0
129,Heavy Rains with Lightning Winds,2007/4/23,2376,250,0
130,Fire,1981/11/30,1000,1000,0
131,Flood,2005/1/21,672,100,0
132,Landslide,2007/1/27,7924,100,0
133,Flood,2017/2/16,584,10,231
134,Lightning,2016/0/0,2800,130,0
135,Coastal Erosion,2016/7/12,7800,100,0
136,Flood,2016/3/21,650,8,1084
137,Heavy Rains with Lightning Winds,2015/0/0,2544,15,0
138,Landslide,2016/4/13,5000,74,0
139,CHEIAS,2012/4/23,210,10,59
140,Flood,2017/2/15,0,0,0
141,Flood,2015/8/2,9000,2,319
142,COLERA,2017/2/15,420,21,0
143,Explosion,2015/0/0,0,1,0
144,Heavy Rains with Lightning Winds,2017/2/15,360,4,180
145,Drought,2003/0/0,0,15,0
146,Earthquake,2013/4/22,0,0,0
147,Earthquake,1979/0/0,7848,0,0
148,Drought,2014/0/0,140,19,0
149,Heavy Rains with Lightning Winds,2014/0/0,2000,50,2000
150,Drought,2014/8/12,157,0,0
151,Heavy Rains with Lightning Winds,2014/8/21,270,87,0
152,Flood,2008/3/13,5000,0,0
153,Tornado,2014/0/0,0,0,0
154,Drought,1977/9/20,956,0,0
155,Drought,1917/0/0,1926,0,540
156,Flood,2015/3/24,13212,13,220
157,Flood,2010/10/3,300,0,0
158,Flood,2010/3/10,910,0,0
159,Flood,2016/3/10,77,0,0
160,Flood,2010/3/10,360,0,0
161,Flood,2010/3/15,306,1,0
162,Flood,2010/3/5,1,0,255
163,Flood,2010/3/5,77,0,181
164,Flood,2016/10/24,155,1,0
165,Flood,2010/1/1,14,0,0
166,Flood,2010/1/1,130,0,0
167,Flood,2010/1/1,130,0,0
168,Flood,2010/1/1,1028,0,0
169,Flood,2010/1/1,11,0,0
170,Flood,2010/3/2,320,0,0
171,Flood,2010/3/3,0,0,0
172,Flood,2016/3/3,7,0,0
173,Flood,2016/3/2,174,0,0
174,Flood,2010/3/2,0,0,0
175,Flood,2016/10/19,353,2,0
176,Flood,2010/1/19,118,0,0
177,Flood,2010/3/2,0,0,173
178,Flood,2010/3/2,345,0,0
179,Flood,2010/4/15,12,2,0
180,Flood,2016/4/15,122,10,0
181,Flood,2016/4/12,200,0,0
182,Flood,2016/10/13,0,17,0
183,Flood,2016/9/1,0,0,0
184,Flood,2016/9/1,72,0,0
185,Flood,2010/2/10,1906,2,7
186,Flood,2016/9/1,12,2,0
187,Flood,2016/9/1,1,1,0
188,Flood,2016/9/1,104,7,0
189,Flood,2009/3/23,313,1,1
190,Flood,2013/8/15,3624,27,0
191,Flood,2013/8/13,3174,0,0
192,Flood,2013/8/15,14,24,0
193,Flood,2016/8/3,33,25,0
194,Flood,2016/8/3,383,1,0
195,Flood,2016/3/27,0,2,0
196,Flood,2016/3/4,12,7,0
197,Flood,2009/4/26,750,7,0
198,Flood,2016/3/8,0,0,0
